,ACAd,ACA,ACB,TC,AId,GU,AIp,MD,DpM,AUD,BLAp,BLAa,BMA,CEA,CLA,COA,CP,PRN,Hipp,ECT,ENTl,ENT,EPd,EP,MRN,LD,CT,LS,MM,MOp,MOs,M,PT,MS,OB,ORBm,ORBvl,OT,PAG,PS,PERI,PIR,PL,VL,RSP,VM,SC,SI,SN,SSs,SSp,SSp-b,SUM,TEa,VISC,VIS,VISp,VTA
MOp,0,0.001075968,0.013874926,8.80219E-05,0.009079535,0.050920109,0.00886303,0.011857174,0.018426424,0.005874362,0.002778701,0.001639363,3.02617E-05,0.007396606,0.047539812,0,2.288189483,0.01254229,0.00015428,0.010853554,0,3.36766E-05,0.012548078,0.006623218,0.017971523,0,0.002021292,0.002563829,0,1.270528277,0.113509838,0.692019058,5.72367E-05,0,0,0,0.000666069,0,0.022793144,0.000113791,0.004215971,0,0,0.001630308,0.001468544,0.023033419,0.012522021,0.00577322,0.003173982,0.269586929,0.233005462,0.080424377,0,0.013426691,0.06992871,0.00020053,4.02665E-05,0.00266191
MOs,0.010709341,0.00535467,0.080527803,0.00092696,0.04560555,0.035334569,0.009217311,0.005916834,0.011803454,0.012760461,0.006794917,0.004040301,7.80175E-05,4.84485E-06,0.071634048,0.000193041,1.287762257,0.019285654,4.55617E-05,0.042187391,0.066811644,0.033820103,0.03090431,0.015608079,0.010417734,0.000753902,0.000130453,0.003599488,7.03232E-05,0.327831651,1.023854028,0.675842839,0.000252496,0,0.018160104,0.006077473,0.074006337,0.006566993,0.081296777,0.000886661,0.042515106,0.059653591,0.00618628,0.010696039,0.011958783,0.002852854,0.018714702,0.004198761,0.001054344,0,0,0.023061669,0.001030222,0.027557851,0.006206388,0.010744068,0.00525451,0.004238566
M,0.00535467,0.003215319,0.047201364,0.000507491,0.027342542,0.043127339,0.00904017,0.008887004,0.015114939,0.009317411,0.004786809,0.002839832,5.41396E-05,0.003700725,0.05958693,9.65204E-05,1.78797587,0.015913972,9.99206E-05,0.026520473,0.033405822,0.01692689,0.021726194,0.011115648,0.014194628,0.000376951,0.001066138,0.003081659,3.51616E-05,0.799179964,0.568681933,0.683930949,0.000154866,0,0.009080052,0.003038736,0.037336203,0.003283496,0.05204496,0.000500226,0.023365538,0.029826796,0.00309314,0.006163173,0.006713663,0.012943137,0.015618361,0.00498599,0.002114163,0.134793465,0.116502731,0.051743023,0.000515111,0.020492271,0.038067549,0.005472299,0.002647388,0.003450238
PT,0,0,0,0.00126817,0,0,0,0.004665452,0.114572747,0,0,0,0,0,0,0,0,0.018315019,0,0,0,0,0,0,0.099188388,0,0.003905174,0,0,0,0,0,0.004161962,0,0,0,0,0,0.178489027,0,0,0,0,0.007457474,0,0.004614446,0.17862202,0,0.001360246,0,5.81648E-06,2.60552E-05,0.000168446,0,7.80331E-05,0,0,0.015290881
MS,0.000102794,0.000222614,0,0.003485447,0,0,0.000347091,0.002074457,0.041079817,2.58002E-05,0,0,3.24118E-06,1.13186E-05,0,1.62059E-05,0,0.000577261,1.41817E-05,0,0,0,0,6.06775E-06,0.039105576,0.005339317,0.002037402,8.44045E-05,0,0,0,0,0.000505942,0,3.31118E-05,0,2.43868E-05,0,0.333328084,0,0,0,3.97959E-05,0.000642379,0,0.013079029,0.006958078,0,0.000367732,0,0,0,0,0,0,0,0,0.006401021
OB,0.125300767,0.062650384,0,0.0028283,0.069328703,0.059237234,0,0.053669144,0.061789465,0,0,0,4.96356E-05,0,0,0,0,0.028973786,0,0,0,0,0,0,0.05710653,0,0.002820899,0.000980729,0,0,0.834262633,0.417131317,0.000101031,0,0.001572361,0.049813569,0.317022625,0,0.209969604,2.75517E-06,0,0.004666261,0.06088316,0.042977377,0,0.023460721,0.048754461,0,0.003311115,0,0,0.014131407,0,0,0,0,0,0.030723591
ORBm,0,0,0,0,0.104725285,0.042098392,0,0.011836514,0.013536895,0.01027863,0,0,4.9765E-05,0,0.098972713,0.000196907,0.820282146,0.02347324,3.65398E-05,0.002717813,0,0,0.02176662,0.01088331,0.01521397,0,0.000647348,0.002222635,0,0.274369021,0,0.137184511,0,0,0.02043929,0,0.321540329,0,0,0,0,0.096770524,0,0.027370677,0,0.012648219,0,0,0.000305396,0.019818064,0.013314685,0.023812226,0,0.020008901,0,0.004063048,0.001434893,0
ORBvl,0,0,0.003744822,0,0,1.95635E-05,0,0,0,0,0,0,0,0,0,0,0,0.00029937,0,0,0,0,0.001363979,0.001065432,0,0,0,0,0,0,0,0,0,0.004773854,0.007328715,0,0.002648977,0,0.030852356,0,0,0.012305269,0,0.000223143,0,1.61543E-05,0,0,7.62341E-05,0,0,2.45568E-05,0,0,0,0,0,0.00820807
OT,0,0,0,0.025976551,0,0,0,0.000474927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000118803,0,0.0005044,0,0.00010996,3.01577E-06,0,0,0,0,0,0
PAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027525452,0,0.111551646,0.404981362,0,0,0,0.001676772,1.25481E-05,0,0,0,0,0,5.35633E-07,0,0,0,0,0,0,0.139157831,0,0,0,0,0,0,0,0,0.000193495,0,0,0,0,0,0,0,0,0
